HTS,1,,,,,,,,,,,,,,,,
HDC,平成22年度,人口動態職業・産業別統計,,,,,,,,,,,,,,,
HD,７基礎人口　表３,15歳以上人口，職業（大分類）・都道府県（20大都市再掲）・性別,,,,,,,,,,,,,,,
,Table 3.,"Population of 15 years of age and over by occupation  (major groups), Japan, each prefecture and the 20 major cities, by sex, FY2010 ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
HT,都道府県 Prefecture,総　数　Total,就業者総数　Employed,,,,,,,,,,,,,無　職　Non-employed,不　詳　Not stated
,,,,Ａ　管理的職業従事者,Ｂ　専門的・技術的職業従事者,Ｃ　事務従事者,Ｄ　販売従事者,Ｅ　サービス職業従事者,Ｆ　保安職業従事者,Ｇ　農林漁業従事者,Ｈ　生産工程従事者,Ｉ　輸送・機械運転従事者,Ｊ　建設・採掘従事者,Ｋ　運搬・清掃・包装等従事者,Ｌ　分類不能の職業,,
HB,総　数 Total,,,,,,,,,,,,,,,,
HS,５２　仙　　　台,434493,257536,10447,42275,40424,52834,19941,8902,2634,24800,14645,18505,14505,7624,129852,47105
HS,５３　さいたま,520875,347113,12733,55933,63597,64013,21745,9769,2899,38254,15801,22023,16843,23503,136352,37410
HS,５４　千　　　葉,409384,247862,8752,40539,45007,42006,16525,7931,1907,26794,13960,15893,14085,14463,106954,54568
HS,５５　横　　　浜,1577887,1001729,40185,200623,177147,161068,65900,23280,5606,116596,51237,63230,52168,44689,397465,178693
HS,５６　川　　　崎,622552,376243,12644,82256,65224,58589,24546,6308,1925,42978,18192,24013,18687,20881,133849,112460
HS,５７　相　模　原,309918,192524,5572,32453,29223,25451,13032,5655,1564,32181,11015,14973,12087,9318,73540,43854
HS,５８　新　　　潟,335655,212822,7670,27007,27415,33952,14241,6330,7790,33798,14418,19226,12658,8317,103932,18901
HS,５９　静　　　岡,298649,199724,7188,23475,23582,31576,12814,5054,5785,38567,12258,18516,12582,8327,88633,10292
HS,６０　浜　　　松,331575,225652,7795,29680,26579,28365,12962,6089,9269,58164,11928,16618,13446,4757,96437,9486
HS,６１　名　古　屋,945837,619352,24769,86572,81012,112460,43326,13365,1996,97368,32159,39438,35658,51229,236471,90014
HS,６２　京　　　都,598390,365356,13816,55504,40503,57124,34384,9080,3838,53780,19325,21453,20160,36389,167537,65497
HS,６３　大　　　阪,1093929,611084,23532,78785,70046,105769,54933,12273,862,93664,33038,39942,40057,58183,296506,186339
HS,６４　　　堺　　,340302,206502,7212,25977,27114,33156,13975,6123,1408,34985,12625,15376,12476,16075,95509,38291
HS,６５　神　　　戸,615975,365073,14273,57557,55729,57442,27711,10228,3354,50806,21308,20368,22695,23602,191595,59307
HS,６６　岡　　　山,285887,183850,6497,25766,22979,29937,11819,4621,5537,29351,10476,14457,10493,11917,94410,7627
HS,６７　広　　　島,474044,311606,11786,44130,44217,55493,20905,9074,3413,46553,19466,24923,17170,14476,127011,35427
HS,６８　北　九　州,389930,234796,8550,29704,27442,32991,15105,7637,2223,46959,18155,20761,13404,11865,128652,26482
HS,６９　福　　　岡,586548,354484,14012,55316,49518,74146,29700,8597,2791,28969,19924,24531,18792,28188,153179,78885
HB,女 Female,,,,,,,,,,,,,,,,
HS,全　　　　　国　,56666015,25105828,194405,4034538,6535551,3345307,4558852,59846,868002,2337944,60354,54404,1725218,1331407,28281946,3278241
HS,０１　北　海　道,2570555,1088707,8847,165100,239917,145380,217152,3774,66622,82611,3120,2577,96534,57073,1388426,93422
HS,０２　青　　　森,640536,286370,2269,42226,55922,36040,54593,1162,33059,30006,629,841,22594,7029,344462,9704
HS,０３　岩　　　手,609183,278240,2194,42086,57050,34808,51685,428,29433,35549,636,618,19891,3862,320088,10855
HS,０４　宮　　　城,1051193,451373,3974,69280,118950,67173,82367,1440,16951,47088,1142,1003,31809,10196,554077,45743
HS,０５　秋　　　田,512852,221745,1580,33808,48002,27941,44846,438,16846,28994,422,471,14963,3434,278263,12844
HS,０６　山　　　形,530431,248906,1876,36010,55396,30430,46107,495,19801,39091,498,565,14417,4220,273161,8364
HS,０７　福　　　島,903366,401506,3134,58564,86222,50495,74378,1008,27560,59142,984,1175,25886,12958,458777,43083
HS,０８　茨　　　城,1275321,572676,3530,83599,138931,76291,100590,1385,31319,66578,1588,1681,40627,26557,665484,37161
HS,０９　栃　　　木,865679,401557,2964,59344,91053,52677,72466,871,21617,52769,1021,1028,30671,15076,423378,40744
HS,１０　群　　　馬,868843,401513,2886,62602,95042,51405,74444,768,19317,52695,1078,966,29412,10898,445223,22107
HS,１１　埼　　　玉,3073917,1389283,8015,201234,395336,193029,227330,4319,21714,128982,4009,2594,110881,91840,1528136,156498
HS,１２　千　　　葉,2682080,1163069,7324,176423,336174,167037,206621,3335,32450,75189,3177,2326,86198,66815,1315714,203297
HS,１３　東　　　京,5761511,2493796,29076,414796,780340,317516,384582,6792,6187,119651,4161,3379,122423,304893,2471156,796559
HS,１４　神　奈　川,3860795,1647570,12670,283002,494102,244159,301248,4517,11682,101683,4194,2862,106127,81324,1879774,333451
HS,１５　新　　　潟,1071668,502192,3085,74811,119224,63806,96137,883,24782,65133,1476,1287,38823,12745,543957,25519
HS,１６　富　　　山,491405,239958,1585,40390,60937,29810,43466,400,5687,33986,745,826,17732,4394,243329,8118
HS,１７　石　　　川,521666,258466,1742,42375,64063,33883,48297,419,5502,31730,600,814,17998,11043,247167,16033
HS,１８　福　　　井,355778,176315,1218,29075,45339,21278,32232,247,5071,26511,320,390,11688,2946,171985,7478
HS,１９　山　　　梨,378260,175792,1288,27693,41770,23030,34463,355,11943,20532,328,380,10410,3600,189045,13423
HS,２０　長　　　野,946423,466010,2888,71057,103057,53667,86924,533,40801,58837,1279,1094,31756,14117,465401,15012
HS,２１　岐　　　阜,913302,432790,2695,64597,109993,55531,80212,892,10999,59443,1024,1098,34366,11940,464327,16185
HS,２２　静　　　岡,1633093,792485,4999,108909,197125,107785,146879,1876,30815,106000,2637,2120,66646,16694,814778,25830
HS,２３　愛　　　知,3109197,1475155,9713,213853,394110,189806,255555,3058,34401,166110,4355,3433,117472,83289,1479304,154738
